Timestamp, Block Number, Base Fee (Gwei)
2023-12-04T04:00:35.000Z, 18710481, 38.806465549
2023-12-04T04:00:47.000Z, 18710482, 36.986474331
2023-12-04T04:00:59.000Z, 18710483, 36.91274611
2023-12-04T04:01:11.000Z, 18710484, 36.48274584
2023-12-04T04:01:23.000Z, 18710485, 36.843111762
2023-12-04T04:01:35.000Z, 18710486, 37.286365099
2023-12-04T04:01:47.000Z, 18710487, 38.424190223
2023-12-04T04:01:59.000Z, 18710488, 37.463892861
2023-12-04T04:02:11.000Z, 18710489, 36.296782393
2023-12-04T04:02:23.000Z, 18710490, 39.3237574
2023-12-04T04:02:35.000Z, 18710491, 37.364030424
2023-12-04T04:02:47.000Z, 18710492, 36.375409005
2023-12-04T04:02:59.000Z, 18710493, 35.62727415
2023-12-04T04:03:11.000Z, 18710494, 39.434512438
2023-12-04T04:03:23.000Z, 18710495, 40.248748363
2023-12-04T04:03:35.000Z, 18710496, 39.505407646
2023-12-04T04:03:47.000Z, 18710497, 38.024013789
2023-12-04T04:03:59.000Z, 18710498, 36.717613875
2023-12-04T04:04:11.000Z, 18710499, 35.462111675
2023-12-04T04:04:23.000Z, 18710500, 37.358884576
2023-12-04T04:04:35.000Z, 18710501, 38.016602059
2023-12-04T04:04:47.000Z, 18710502, 37.378670805
2023-12-04T04:04:59.000Z, 18710503, 36.923211079
2023-12-04T04:05:11.000Z, 18710504, 37.375117951
2023-12-04T04:05:23.000Z, 18710505, 40.601754242
2023-12-04T04:05:35.000Z, 18710506, 38.826617464
2023-12-04T04:05:47.000Z, 18710507, 37.961983638
2023-12-04T04:05:59.000Z, 18710508, 37.22345033
2023-12-04T04:06:11.000Z, 18710509, 36.340707683
2023-12-04T04:06:23.000Z, 18710510, 36.617874929
2023-12-04T04:06:35.000Z, 18710511, 36.961567251
2023-12-04T04:06:47.000Z, 18710512, 35.942292588
2023-12-04T04:06:59.000Z, 18710513, 36.166835172
2023-12-04T04:07:11.000Z, 18710514, 35.355716738
2023-12-04T04:07:23.000Z, 18710515, 36.310016736
2023-12-04T04:07:35.000Z, 18710516, 35.806028863
2023-12-04T04:07:47.000Z, 18710517, 36.262101292
